sample_id,category,nudge_mode,trial_id,turn_index,phase,elapsed_sec,phase_sec,tokens_in_turn,cumulative_tokens,task_anchoring,has_code,has_execution_output,has_inspector_signals
qrdata_original_qrdata_0_0,verbal_execution_divergence,targeted,0,0,orchestrator,0.17,0.02,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_0_0,verbal_execution_divergence,targeted,0,1,workflow,4.74,4.57,336.0,336.0,0.536,True,True,True
qrdata_original_qrdata_0_0,verbal_execution_divergence,targeted,0,2,workflow,9.24,4.5,308.0,644.0,0.536,True,True,True
qrdata_original_qrdata_1_1,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_1_1,verbal_execution_divergence,targeted,0,1,workflow,4.51,4.37,413.0,413.0,0.321,True,True,True
qrdata_original_qrdata_1_1,verbal_execution_divergence,targeted,0,2,workflow,8.54,4.03,360.0,773.0,0.377,True,True,True
qrdata_original_qrdata_2_2,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_2_2,early_exit_recovered,targeted,0,1,workflow,30.64,30.49,618.0,618.0,0.265,True,True,True
qrdata_original_qrdata_2_2,early_exit_recovered,targeted,0,2,workflow,34.62,3.98,485.0,1103.0,0.388,True,True,True
qrdata_original_qrdata_3_3,verbal_execution_divergence,targeted,0,0,orchestrator,0.14,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_3_3,verbal_execution_divergence,targeted,0,1,workflow,5.3,5.16,388.0,388.0,0.286,True,True,True
qrdata_original_qrdata_3_3,verbal_execution_divergence,targeted,0,2,workflow,9.25,3.94,321.0,709.0,0.265,True,True,True
qrdata_original_qrdata_4_4,early_exit_recovered,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_4_4,early_exit_recovered,targeted,0,1,workflow,5.76,5.58,352.0,352.0,0.286,True,True,True
qrdata_original_qrdata_4_4,early_exit_recovered,targeted,0,2,workflow,10.15,4.39,335.0,687.0,0.327,True,True,True
qrdata_original_qrdata_4_4,early_exit_recovered,targeted,0,3,workflow,13.75,3.6,301.0,988.0,0.245,True,True,True
qrdata_original_qrdata_5_5,clean,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_5_5,clean,targeted,0,1,workflow,4.11,3.94,283.0,283.0,0.818,True,True,True
qrdata_original_qrdata_6_6,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_6_6,verbal_execution_divergence,targeted,0,1,workflow,10.97,10.82,1568.0,1568.0,0.333,True,True,True
qrdata_original_qrdata_6_6,verbal_execution_divergence,targeted,0,2,workflow,14.31,3.34,222.0,1790.0,0.31,True,True,True
qrdata_original_qrdata_7_7,verbal_execution_divergence,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_7_7,verbal_execution_divergence,targeted,0,1,workflow,13.29,13.11,1587.0,1587.0,0.326,True,True,True
qrdata_original_qrdata_7_7,verbal_execution_divergence,targeted,0,2,workflow,16.71,3.42,335.0,1922.0,0.326,True,True,True
qrdata_original_qrdata_8_8,verbal_execution_divergence,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_8_8,verbal_execution_divergence,targeted,0,1,workflow,3.35,3.19,367.0,367.0,0.343,True,True,True
qrdata_original_qrdata_8_8,verbal_execution_divergence,targeted,0,2,workflow,5.87,2.52,234.0,601.0,0.371,True,True,True
qrdata_original_qrdata_9_9,verbal_execution_divergence,targeted,0,0,orchestrator,0.18,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_9_9,verbal_execution_divergence,targeted,0,1,workflow,4.71,4.53,387.0,387.0,0.459,True,True,True
qrdata_original_qrdata_9_9,verbal_execution_divergence,targeted,0,2,workflow,8.34,3.64,266.0,653.0,0.405,True,True,True
qrdata_original_qrdata_10_10,clean,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_10_10,clean,targeted,0,1,workflow,27.36,27.19,447.0,447.0,0.514,True,True,True
qrdata_original_qrdata_11_11,early_exit_recovered,targeted,0,0,orchestrator,0.18,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_11_11,early_exit_recovered,targeted,0,1,workflow,5.61,5.43,480.0,480.0,0.258,True,True,True
qrdata_original_qrdata_11_11,early_exit_recovered,targeted,0,2,workflow,14.93,9.31,685.0,1165.0,0.226,True,True,True
qrdata_original_qrdata_12_12,clean,targeted,0,0,orchestrator,0.18,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_12_12,clean,targeted,0,1,workflow,32.28,32.1,735.0,735.0,0.419,True,True,True
qrdata_original_qrdata_13_13,early_exit_recovered,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_13_13,early_exit_recovered,targeted,0,1,workflow,4.64,4.48,385.0,385.0,0.255,True,True,True
qrdata_original_qrdata_13_13,early_exit_recovered,targeted,0,2,workflow,10.29,5.65,469.0,854.0,0.34,True,True,True
qrdata_original_qrdata_14_14,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_14_14,early_exit_recovered,targeted,0,1,workflow,13.07,12.92,569.0,569.0,0.306,True,True,True
qrdata_original_qrdata_14_14,early_exit_recovered,targeted,0,2,workflow,34.35,21.28,745.0,1314.0,0.388,True,True,True
qrdata_original_qrdata_14_14,early_exit_recovered,targeted,0,3,workflow,39.46,5.11,421.0,1735.0,0.367,True,True,True
qrdata_original_qrdata_15_15,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_15_15,verbal_execution_divergence,targeted,0,1,workflow,4.43,4.29,434.0,434.0,0.483,True,True,True
qrdata_original_qrdata_15_15,verbal_execution_divergence,targeted,0,2,workflow,7.59,3.15,300.0,734.0,0.414,True,True,True
qrdata_original_qrdata_16_16,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_16_16,verbal_execution_divergence,targeted,0,1,workflow,4.33,4.17,436.0,436.0,0.483,True,True,True
qrdata_original_qrdata_16_16,verbal_execution_divergence,targeted,0,2,workflow,9.22,4.89,272.0,708.0,0.414,True,True,True
qrdata_original_qrdata_17_17,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_17_17,verbal_execution_divergence,targeted,0,1,workflow,4.93,4.78,436.0,436.0,0.571,True,True,True
qrdata_original_qrdata_18_18,verbal_execution_divergence,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_18_18,verbal_execution_divergence,targeted,0,1,workflow,5.49,5.32,543.0,543.0,0.5,True,True,True
qrdata_original_qrdata_19_19,verbal_execution_divergence,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_19_19,verbal_execution_divergence,targeted,0,1,workflow,3.52,3.35,344.0,344.0,0.353,True,True,True
qrdata_original_qrdata_19_19,verbal_execution_divergence,targeted,0,2,workflow,6.59,3.07,365.0,709.0,0.265,True,True,True
qrdata_original_qrdata_20_20,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_20_20,early_exit_recovered,targeted,0,1,workflow,4.01,3.85,371.0,371.0,0.353,True,True,True
qrdata_original_qrdata_20_20,early_exit_recovered,targeted,0,2,workflow,7.84,3.83,327.0,698.0,0.471,True,True,True
qrdata_original_qrdata_21_21,early_exit_recovered,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_21_21,early_exit_recovered,targeted,0,1,workflow,3.86,3.7,375.0,375.0,0.364,True,True,True
qrdata_original_qrdata_21_21,early_exit_recovered,targeted,0,2,workflow,6.63,2.77,319.0,694.0,0.364,True,True,True
qrdata_original_qrdata_22_22,early_exit_recovered,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_22_22,early_exit_recovered,targeted,0,1,workflow,7.34,7.18,421.0,421.0,0.419,True,True,True
qrdata_original_qrdata_22_22,early_exit_recovered,targeted,0,2,workflow,11.71,4.37,428.0,849.0,0.419,True,True,True
qrdata_original_qrdata_23_23,early_exit_recovered,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_23_23,early_exit_recovered,targeted,0,1,workflow,5.41,5.26,381.0,381.0,0.375,True,True,True
qrdata_original_qrdata_23_23,early_exit_recovered,targeted,0,2,workflow,9.85,4.44,326.0,707.0,0.438,True,True,True
qrdata_original_qrdata_24_24,early_exit_recovered,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_24_24,early_exit_recovered,targeted,0,1,workflow,4.83,4.67,376.0,376.0,0.406,True,True,True
qrdata_original_qrdata_24_24,early_exit_recovered,targeted,0,2,workflow,8.77,3.94,311.0,687.0,0.438,True,True,True
qrdata_original_qrdata_25_25,verbal_execution_divergence,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_25_25,verbal_execution_divergence,targeted,0,1,workflow,5.75,5.59,434.0,434.0,0.455,True,True,True
qrdata_original_qrdata_25_25,verbal_execution_divergence,targeted,0,2,workflow,9.39,3.64,389.0,823.0,0.455,True,True,True
qrdata_original_qrdata_26_26,early_exit_recovered,targeted,0,0,orchestrator,0.18,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_26_26,early_exit_recovered,targeted,0,1,workflow,4.1,3.92,388.0,388.0,0.455,True,True,True
qrdata_original_qrdata_26_26,early_exit_recovered,targeted,0,2,workflow,7.62,3.52,282.0,670.0,0.394,True,True,True
qrdata_original_qrdata_27_27,early_exit_recovered,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_27_27,early_exit_recovered,targeted,0,1,workflow,3.49,3.31,387.0,387.0,0.455,True,True,True
qrdata_original_qrdata_27_27,early_exit_recovered,targeted,0,2,workflow,7.41,3.92,314.0,701.0,0.394,True,True,True
qrdata_original_qrdata_28_28,early_exit_recovered,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_28_28,early_exit_recovered,targeted,0,1,workflow,3.97,3.81,399.0,399.0,0.529,True,True,True
qrdata_original_qrdata_28_28,early_exit_recovered,targeted,0,2,workflow,7.27,3.3,322.0,721.0,0.441,True,True,True
qrdata_original_qrdata_29_29,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_29_29,early_exit_recovered,targeted,0,1,workflow,4.05,3.9,342.0,342.0,0.421,True,True,True
qrdata_original_qrdata_29_29,early_exit_recovered,targeted,0,2,workflow,8.07,4.01,404.0,746.0,0.579,True,True,True
qrdata_original_qrdata_30_30,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_30_30,early_exit_recovered,targeted,0,1,workflow,4.76,4.61,408.0,408.0,0.447,True,True,True
qrdata_original_qrdata_30_30,early_exit_recovered,targeted,0,2,workflow,8.21,3.45,314.0,722.0,0.526,True,True,True
qrdata_original_qrdata_31_31,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_31_31,early_exit_recovered,targeted,0,1,workflow,4.84,4.69,424.0,424.0,0.475,True,True,True
qrdata_original_qrdata_31_31,early_exit_recovered,targeted,0,2,workflow,9.67,4.82,353.0,777.0,0.6,True,True,True
qrdata_original_qrdata_32_32,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_32_32,early_exit_recovered,targeted,0,1,workflow,7.85,7.7,402.0,402.0,0.435,True,True,True
qrdata_original_qrdata_32_32,early_exit_recovered,targeted,0,2,workflow,11.84,3.99,344.0,746.0,0.435,True,True,True
qrdata_original_qrdata_33_33,early_exit_recovered,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_33_33,early_exit_recovered,targeted,0,1,workflow,4.55,4.38,444.0,444.0,0.519,True,True,True
qrdata_original_qrdata_33_33,early_exit_recovered,targeted,0,2,workflow,9.56,5.01,452.0,896.0,0.481,True,True,True
qrdata_original_qrdata_34_34,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_34_34,early_exit_recovered,targeted,0,1,workflow,4.14,3.99,406.0,406.0,0.571,True,True,True
qrdata_original_qrdata_34_34,early_exit_recovered,targeted,0,2,workflow,8.86,4.72,448.0,854.0,0.571,True,True,True
qrdata_original_qrdata_35_35,clean,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_35_35,clean,targeted,0,1,workflow,5.77,5.62,497.0,497.0,0.826,True,True,True
qrdata_original_qrdata_36_36,clean,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_36_36,clean,targeted,0,1,workflow,18.08,17.93,514.0,514.0,0.568,True,True,True
qrdata_original_qrdata_37_37,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_37_37,verbal_execution_divergence,targeted,0,1,workflow,5.23,5.08,364.0,364.0,0.222,True,True,True
qrdata_original_qrdata_37_37,verbal_execution_divergence,targeted,0,2,workflow,8.88,3.64,326.0,690.0,0.4,True,True,True
qrdata_original_qrdata_38_38,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_38_38,verbal_execution_divergence,targeted,0,1,workflow,4.92,4.77,405.0,405.0,0.213,True,True,True
qrdata_original_qrdata_38_38,verbal_execution_divergence,targeted,0,2,workflow,9.14,4.22,347.0,752.0,0.34,True,True,True
qrdata_original_qrdata_39_39,early_exit_recovered,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_39_39,early_exit_recovered,targeted,0,1,workflow,4.94,4.79,356.0,356.0,0.38,True,True,True
qrdata_original_qrdata_39_39,early_exit_recovered,targeted,0,2,workflow,8.46,3.51,378.0,734.0,0.34,True,True,True
qrdata_original_qrdata_40_40,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_40_40,verbal_execution_divergence,targeted,0,1,workflow,4.97,4.82,352.0,352.0,0.36,True,True,True
qrdata_original_qrdata_40_40,verbal_execution_divergence,targeted,0,2,workflow,8.51,3.54,363.0,715.0,0.34,True,True,True
qrdata_original_qrdata_41_41,verbal_execution_divergence,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_41_41,verbal_execution_divergence,targeted,0,1,workflow,4.61,4.45,502.0,502.0,0.325,True,True,True
qrdata_original_qrdata_41_41,verbal_execution_divergence,targeted,0,2,workflow,7.85,3.24,357.0,859.0,0.475,True,True,True
qrdata_original_qrdata_42_42,clean,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_42_42,clean,targeted,0,1,workflow,44.35,44.19,687.0,687.0,0.535,True,True,True
qrdata_original_qrdata_43_43,early_exit_recovered,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_43_43,early_exit_recovered,targeted,0,1,workflow,10.06,9.9,1077.0,1077.0,0.479,True,True,True
qrdata_original_qrdata_43_43,early_exit_recovered,targeted,0,2,workflow,15.08,5.02,445.0,1522.0,0.266,True,True,True
qrdata_original_qrdata_44_44,early_exit_recovered,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_44_44,early_exit_recovered,targeted,0,1,workflow,64.12,63.97,1460.0,1460.0,0.663,True,True,True
qrdata_original_qrdata_44_44,early_exit_recovered,targeted,0,2,workflow,71.69,7.57,632.0,2092.0,0.326,True,True,True
qrdata_original_qrdata_45_45,early_exit_recovered,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_45_45,early_exit_recovered,targeted,0,1,workflow,8.3,8.14,414.0,414.0,0.369,True,True,True
qrdata_original_qrdata_45_45,early_exit_recovered,targeted,0,2,workflow,11.81,3.5,228.0,642.0,0.262,True,True,True
qrdata_original_qrdata_45_45,early_exit_recovered,targeted,0,3,workflow,14.24,2.43,206.0,848.0,0.246,True,True,True
qrdata_original_qrdata_46_46,verbal_execution_divergence,targeted,0,0,orchestrator,0.15,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_46_46,verbal_execution_divergence,targeted,0,1,workflow,4.96,4.82,442.0,442.0,0.361,True,True,True
qrdata_original_qrdata_46_46,verbal_execution_divergence,targeted,0,2,workflow,15.7,10.73,588.0,1030.0,0.417,True,True,True
qrdata_original_qrdata_47_47,verbal_execution_divergence,targeted,0,0,orchestrator,0.16,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_47_47,verbal_execution_divergence,targeted,0,1,workflow,4.59,4.44,436.0,436.0,0.306,True,True,True
qrdata_original_qrdata_47_47,verbal_execution_divergence,targeted,0,2,workflow,8.95,4.36,492.0,928.0,0.347,True,True,True
qrdata_original_qrdata_48_48,verbal_execution_divergence,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_48_48,verbal_execution_divergence,targeted,0,1,workflow,4.96,4.8,419.0,419.0,0.324,True,True,True
qrdata_original_qrdata_48_48,verbal_execution_divergence,targeted,0,2,workflow,8.71,3.75,388.0,807.0,0.353,True,True,True
qrdata_original_qrdata_49_49,verbal_execution_divergence,targeted,0,0,orchestrator,0.17,0.0,0.0,0.0,0.0,False,False,False
qrdata_original_qrdata_49_49,verbal_execution_divergence,targeted,0,1,workflow,4.78,4.61,361.0,361.0,0.351,True,True,True
qrdata_original_qrdata_49_49,verbal_execution_divergence,targeted,0,2,workflow,9.64,4.87,490.0,851.0,0.432,True,True,True
