sample_id,run_name,question,ground_truth,strict_correct,lenient_correct,gemini_verdict,category,trial_id,nudge_mode,plan_code_alignment,o_p_disagreement,nudge_triggered,nudge_count,crashed,crash_message,answer_detected_at_turn,execution_scalar,verbal_scalar,verbal_execution_disagree,drift_onset_turn,drift_onset_tokens,drift_onset_sec,re_anchor_turn,re_anchor_tokens
qrdata_original_qrdata_0_0,qrdata_lambda_inproc_summary,Compute the proportion of patients in the treatment group who had a stroke by the end of their first year. Please round to the nearest hundredth.,0.20,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.2,2.0,True,,,,,
qrdata_original_qrdata_1_1,qrdata_lambda_inproc_summary,What proportion of patients in the treatment group were pain free 24 hours after receiving acupuncture? Please round to the nearest hundredth.,0.23,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.23,2.0,True,,,,,
qrdata_original_qrdata_2_2,qrdata_lambda_inproc_summary,What proportion of patients in the treatment group experienced improvement in symptoms? Please round to the nearest hundredth.,0.78,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.78,78.0,False,,,,,
qrdata_original_qrdata_3_3,qrdata_lambda_inproc_summary,What proportion of patients in the control group experienced improvement in symptoms? Please round to the nearest hundredth.,0.80,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.8,2.0,True,,,,,
qrdata_original_qrdata_4_4,qrdata_lambda_inproc_summary,"In which group did a higher percentage of patients experience improvement in symptoms? Please answer with ""treatment group"" or ""control group"".",control group,False,True,correct,early_exit_recovered,0,targeted,,,True,2,False,,,,,,,,,,
qrdata_original_qrdata_5_5,qrdata_lambda_inproc_summary,How many participants were included in the survey?,1691,True,True,,clean,0,targeted,,,False,0,False,,1,1691.0,1691.0,False,,,,,
qrdata_original_qrdata_6_6,qrdata_lambda_inproc_summary,Estimate the median AQI value of this sample. Please round to the nearest integer.,30,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,30.0,91.0,True,,,,,
qrdata_original_qrdata_7_7,qrdata_lambda_inproc_summary,Estimate the interquartile range of AQI in this sample. Please round to the nearest hundredth.,19.50,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,19.5,50.0,True,,,,,
qrdata_original_qrdata_8_8,qrdata_lambda_inproc_summary,"What proportion of these Tampa, FL voters identify themselves as conservatives? Please round to the nearest hundredth.",0.41,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.41,2.0,True,,,,,
qrdata_original_qrdata_9_9,qrdata_lambda_inproc_summary,"What proportion of these Tampa, FL voters identify themselves as conservatives and are in favor of the citizenship option? Please round to the nearest hundredth.",0.06,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.06,2.0,True,,,,,
qrdata_original_qrdata_10_10,qrdata_lambda_inproc_summary,"What proportion of these Tampa, FL voters who identify themselves as conservatives are also in favor of the citizenship option? Please round to the nearest hundredth.",0.15,True,True,,clean,0,targeted,,,False,0,False,,1,0.15,15.0,False,,,,,
qrdata_original_qrdata_11_11,qrdata_lambda_inproc_summary,"Determine if the following statement is true or false. Be careful: The reasoning may be wrong even if the statement's conclusion is correct. In such cases, the statement should be considered false. Answer with ""true"" or ""false"".
Statement: The data suggest that diabetic patients who are taking rosiglitazone are more likely to have cardiovascular problems since the rate of incidence was (2,593 / 67,593 = 0.038) 3.8% for patients on this treatment, while it was only (5,386 / 159,978 = 0.034) 3.4% for patients on pioglitazone.",true,False,True,correct,early_exit_recovered,0,targeted,,,True,1,False,,2,2.833919080695246e-08,0.0,False,,,,,
qrdata_original_qrdata_12_12,qrdata_lambda_inproc_summary,What proportion of all patients had cardiovascular problems? Please round to the nearest thousandth.,0.035,False,True,correct,clean,0,targeted,,,False,0,False,,1,0.035,0.035,False,,,,,
qrdata_original_qrdata_13_13,qrdata_lambda_inproc_summary,"If the type of treatment and having cardiovascular problems were independent, about how many patients in the rosiglitazone group would we expect to have had cardiovascular problems? Please round to the nearest integer.",2370,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,2370.0,2370.0,False,,,,,
qrdata_original_qrdata_14_14,qrdata_lambda_inproc_summary,How much higher is the proportion of deaths in the control group than in the treatment group? Please round to the nearest hundredth.,0.23,True,True,,early_exit_recovered,0,targeted,,,True,2,False,,3,0.23,0.23,False,,,,,
qrdata_original_qrdata_15_15,qrdata_lambda_inproc_summary,Estimate the first quartile (Q1) of the infant death rate. Please round to the nearest hundredth.,6.51,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,6.5,1.0,True,,,,,
qrdata_original_qrdata_16_16,qrdata_lambda_inproc_summary,Estimate the third quartile (Q3) of the infant death rate. Please round to the nearest hundredth.,42.14,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,42.14,3.0,True,,,,,
qrdata_original_qrdata_17_17,qrdata_lambda_inproc_summary,Compute the probability a randomly selected loan from the data set is for someone who has a mortgage or owns her home. Please round to the nearest hundredth.,0.61,True,True,,verbal_execution_divergence,0,targeted,,,False,0,False,,1,0.61,0.0,True,,,,,
qrdata_original_qrdata_18_18,qrdata_lambda_inproc_summary,Determine the probability a randomly drawn loan from the data set is from a joint application where the couple had a mortgage. Please round to the nearest thousandth.,0.095,False,True,correct,verbal_execution_divergence,0,targeted,,,False,0,False,,1,0.0,3.0,True,,,,,
qrdata_original_qrdata_19_19,qrdata_lambda_inproc_summary,What is the difference in infection rates between the placebo and vaccine groups? Please round to the nearest thousandth.,0.643,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.643,0.357,True,,,,,
qrdata_original_qrdata_20_20,qrdata_lambda_inproc_summary,What is the probability a randomly selected person who was not inoculated died from smallpox? Please round to the nearest thousandth.,0.141,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.141,14.1,False,,,,,
qrdata_original_qrdata_21_21,qrdata_lambda_inproc_summary,Determine the probability that an inoculated person died from smallpox. Please round to the nearest thousandth.,0.025,False,True,correct,early_exit_recovered,0,targeted,,,True,1,False,,2,0.025,2.5,False,,,,,
qrdata_original_qrdata_22_22,qrdata_lambda_inproc_summary,What is the probability that a randomly chosen respondent believes the earth is warming or is a liberal Democrat? Please round to the nearest hundredth.,0.62,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.62,62.0,False,,,,,
qrdata_original_qrdata_23_23,qrdata_lambda_inproc_summary,What is the probability that a randomly chosen respondent believes the earth is warming given that he is a liberal Democrat? Please round to the nearest hundredth.,0.90,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.9,0.9,False,,,,,
qrdata_original_qrdata_24_24,qrdata_lambda_inproc_summary,What is the probability that a randomly chosen respondent believes the earth is warming given that he is a conservative Republican? Please round to the nearest hundredth.,0.33,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.33,33.0,False,,,,,
qrdata_original_qrdata_25_25,qrdata_lambda_inproc_summary,What is the probability that a randomly chosen respondent is a moderate/liberal Republican given that he does not believe that the earth is warming? Please round to the nearest hundredth.,0.18,False,True,correct,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.0,2.0,True,,,,,
qrdata_original_qrdata_26_26,qrdata_lambda_inproc_summary,What is the probability that a randomly chosen male likes In-N-Out the best? Please round to the nearest hundredth.,0.65,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.65,65.0,False,,,,,
qrdata_original_qrdata_27_27,qrdata_lambda_inproc_summary,What is the probability that a randomly chosen female likes In-N-Out the best? Please round to the nearest hundredth.,0.72,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.72,72.0,False,,,,,
qrdata_original_qrdata_28_28,qrdata_lambda_inproc_summary,What is the probability that a randomly chosen person likes Umami best or that person is female? Please round to the nearest hundredth.,0.51,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.51,51.0,False,,,,,
qrdata_original_qrdata_29_29,qrdata_lambda_inproc_summary,What is the probability that a randomly chosen male respondent or his partner has blue eyes? Please round to the nearest hundredth.,0.71,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.71,0.71,False,,,,,
qrdata_original_qrdata_30_30,qrdata_lambda_inproc_summary,What is the probability that a randomly chosen male respondent with blue eyes has a partner with blue eyes? Please round to the nearest hundredth.,0.68,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.68,68.0,False,,,,,
qrdata_original_qrdata_31_31,qrdata_lambda_inproc_summary,What is the probability of a randomly chosen male respondent with green eyes having a partner with blue eyes? Please round to the nearest hundredth.,0.31,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.31,31.0,False,,,,,
qrdata_original_qrdata_32_32,qrdata_lambda_inproc_summary,What proportion of the sample is between 180 cm and 185 cm tall? Please round to the nearest thousandth.,0.117,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.117,0.117,False,,,,,
qrdata_original_qrdata_33_33,qrdata_lambda_inproc_summary,Three US adults are randomly selected. What is the probability that all three are between 180 and 185 cm tall? Please round to the nearest thousandth.,0.002,False,True,correct,early_exit_recovered,0,targeted,,,True,1,False,,2,0.002,0.002,False,,,,,
qrdata_original_qrdata_34_34,qrdata_lambda_inproc_summary,Three US adults are randomly selected. What is the probability that none are between 180 and 185 cm tall? Please round to the nearest hundredth.,0.69,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.69,69.0,False,,,,,
qrdata_original_qrdata_35_35,qrdata_lambda_inproc_summary,Use a Poisson distribution to approximate the data. What is the event rate of the Poisson distribution? Please round to the nearest tenth.,4.4,True,True,,clean,0,targeted,,,False,0,False,,1,4.4,4.4,False,,,,,
qrdata_original_qrdata_36_36,qrdata_lambda_inproc_summary,Calculate the lower bound of a 99% confidence interval for the level of American support for expanding the use of wind turbines for power generation. Please round to the nearest thousandth.,0.819,True,True,,clean,0,targeted,,,False,0,False,,1,0.832,83.2,False,,,,,
qrdata_original_qrdata_37_37,qrdata_lambda_inproc_summary,What is the point estimate in this case? Please round to the nearest hundredth.,0.82,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.82,0.84,True,,,,,
qrdata_original_qrdata_38_38,qrdata_lambda_inproc_summary,Estimate the standard error of the point estimate from the Ebola survey. Please round to the nearest thousandth.,0.012,False,True,correct,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.012,21.0,True,,,,,
qrdata_original_qrdata_39_39,qrdata_lambda_inproc_summary,"Construct a 95% confidence interval for p, the proportion of New York adults who supported a quarantine for anyone who has come into contact with an Ebola patient. Please output the lower bound of the confidence interval and round to the nearest thousandth.",0.796,True,True,,early_exit_recovered,0,targeted,,,True,1,False,,2,0.796,0.796,False,,,,,
qrdata_original_qrdata_40_40,qrdata_lambda_inproc_summary,"Construct a 95% confidence interval for p, the proportion of New York adults who supported a quarantine for anyone who has come into contact with an Ebola patient. Please output the upper bound of the confidence interval and round to the nearest thousandth.",0.844,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.843,0.05,True,,,,,
qrdata_original_qrdata_41_41,qrdata_lambda_inproc_summary,Compute the upper bound of a 95% confidence interval for the fraction of college-educated adults who answered the children_with_1_or_more_vaccination question correctly. Please round to the nearest thousandth.,0.358,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.358,1.0,True,,,,,
qrdata_original_qrdata_42_42,qrdata_lambda_inproc_summary,Calculate the lower bound of the 90% confidence interval of the difference for the survival rates in the CPR study. Please round to the nearest thousandth.,-0.026,False,True,correct,clean,0,targeted,,,False,0,False,,1,-0.027,-0.027,False,,,,,
qrdata_original_qrdata_43_43,qrdata_lambda_inproc_summary,Calculate the length of the 95% confidence interval for the effect of fish oils on heart attacks for patients who are well-represented by those in the study. Please round to the nearest thousandth.,0.006,False,True,correct,early_exit_recovered,0,targeted,,,True,1,False,,2,0.006,0.006,False,,,,,
qrdata_original_qrdata_44_44,qrdata_lambda_inproc_summary,Calculate the lower bound of the 95% confidence interval for the effect of fish oils on heart attacks for patients who are well-represented by those in the study. Please round to the nearest thousandth.,-0.007,False,True,correct,early_exit_recovered,0,targeted,,,True,1,False,,2,-0.007,-0.007,False,,,,,
qrdata_original_qrdata_45_45,qrdata_lambda_inproc_summary,"Is this study an experiment or an observational study? Please answer with ""experiment"" or ""observational"".",experiment,False,True,correct,early_exit_recovered,0,targeted,,,True,2,False,,,,2.0,,,,,,
qrdata_original_qrdata_46_46,qrdata_lambda_inproc_summary,Compute the absolute value of the point estimate of the difference in breast cancer death rates in the two groups. Please round to 5 decimal places.,0.00012,False,True,correct,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.00012,1.0,True,,,,,
qrdata_original_qrdata_47_47,qrdata_lambda_inproc_summary,Compute the standard error of the point estimate of the difference in breast cancer death rates in the two groups. Please round to 5 decimal places.,0.00070,False,True,correct,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.0007,1.0,True,,,,,
qrdata_original_qrdata_48_48,qrdata_lambda_inproc_summary,Calculate a p-value for the hypothesis that there was no difference in breast cancer deaths in the mammogram and control groups. Please round to 4 decimal places.,0.8650,True,True,,verbal_execution_divergence,0,targeted,,,True,1,False,,2,0.8698,4.0,True,,,,,
qrdata_original_qrdata_49_49,qrdata_lambda_inproc_summary,"Given the hypothesis that the higher-quality blades will pass inspection 3% more frequently than the standard-quality blades, calculate the p-value for the hypothesis. Please round to 3 decimal places.",0.012,False,True,correct,verbal_execution_divergence,0,targeted,,,True,1,False,,2,64.0,3.0,True,,,,,
